,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context
0,110286826,False,Intern Data Analyst / Стажер - аналитик данных,"{'id': '4949-4949-stud', 'name': '«Procter & Gamble», Студент'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 100000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Ленинградское шоссе', 'building': '16ас2', 'lat': 55.821573, 'lng': 37.498725, 'description': None, 'raw': 'Москва, Ленинградское шоссе, 16ас2', 'metro': {'station_name': 'Войковская', 'line_name': 'Замоскворецкая', 'station_id': '2.30', 'line_id': '2', 'lat': 55.818923, 'lng': 37.497791}, 'metro_stations': [{'station_name': 'Войковская', 'line_name': 'Замоскворецкая', 'station_id': '2.30', 'line_id': '2', 'lat': 55.818923, 'lng': 37.497791}], 'id': '151759'}",,,2024-12-07T09:20:16+0300,2024-12-07T09:20:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110286826,,,https://api.hh.ru/vacancies/110286826?host=hh.ru,https://hh.ru/vacancy/110286826,[],"{'id': '4949', 'name': 'Procter & Gamble', 'url': 'https://api.hh.ru/employers/4949', 'alternate_url': 'https://hh.ru/employer/4949', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/367861.jpg', '90': 'https://img.hhcdn.ru/employer-logo/1913702.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/1913703.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4949', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Education in Statistics, Mathematics, Applied Informatics, <highlighttext>Data</highlighttext> Science, Business Management or similar areas would be considered an advantage. ', 'responsibility': 'Analyze the variable, granular <highlighttext>data</highlighttext> of business to deliver business value in respective domain. Understand the needs for your analytical...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '40', 'name': 'Другое'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
1,115051278,False,Руководитель отдела взыскания,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-05T17:17:04+0300,2025-01-05T17:17:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115051278,,,https://api.hh.ru/vacancies/115051278?host=hh.ru,https://hh.ru/vacancy/115051278,[],"{'id': '9745589', 'name': 'HAAS PLATFORM', 'url': 'https://api.hh.ru/employers/9745589', 'alternate_url': 'https://hh.ru/employer/9745589', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9745589', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Глубокая экспертиза в области необеспеченного кредитования и автоматизации кредитных процессов. Знание <highlighttext>аналитики</highlighttext>, <highlighttext>data</highlighttext> science и методов моделирования кредитных рисков. ', 'responsibility': 'Обеспечить разработку и реализацию стратегии взыскания, которая будет соответствовать нормативным требованиям и основываться на анализе данных для повышения эффективности кредитных...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '147', 'name': 'Специалист по взысканию задолженности'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
2,115062340,False,Data Analyst (Удаленно),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-06T13:12:32+0300,2025-01-06T13:12:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115062340,,,https://api.hh.ru/vacancies/115062340?host=hh.ru,https://hh.ru/vacancy/115062340,[],"{'id': '2870783', 'name': 'LATOKEN', 'url': 'https://api.hh.ru/employers/2870783', 'alternate_url': 'https://hh.ru/employer/2870783', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1057727.png', '90': 'https://img.hhcdn.ru/employer-logo/5851549.png', '240': 'https://img.hhcdn.ru/employer-logo/5851550.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2870783', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Практический опыт работы с инструментами анализа данных (Power BI, Tableau, Superset). Отличное знание SQL и опыт работы с базами данных. ', 'responsibility': 'Анализе и интерпретации данных для принятия стратегических решений. Разработке и автоматизации дэшбордов для визуализации ключевых показателей. Оптимизации аналитической инфраструктуры с...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
3,112978989,False,Аналитик по работе с данными,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2024-12-11T11:01:41+0300,2024-12-11T11:01:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=112978989,True,,https://api.hh.ru/vacancies/112978989?host=hh.ru,https://hh.ru/vacancy/112978989,[],"{'id': '4307', 'name': 'Московская Биржа', 'url': 'https://api.hh.ru/employers/4307', 'alternate_url': 'https://hh.ru/employer/4307', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/4128821.png', '90': 'https://img.hhcdn.ru/employer-logo/4128820.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/922065.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4307', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы <highlighttext>аналитиком</highlighttext> с задачами продуктовой и клиентской <highlighttext>аналитики</highlighttext> от 1года. - Опыт работы <highlighttext>аналитиком</highlighttext> DWH в крупной компании от...', 'responsibility': 'Сбор и анализ требований к витринам данных для выполнения задач продуктовой <highlighttext>аналитики</highlighttext>, сегментации клиентской базы и <highlighttext>аналитики</highlighttext> поведения клиентов. - '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
4,113020416,False,Data Engineer,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-04T17:21:08+0300,2025-01-04T17:21:08+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=113020416,,,https://api.hh.ru/vacancies/113020416?host=hh.ru,https://hh.ru/vacancy/113020416,[],"{'id': '588914', 'name': 'Aviasales.ru', 'url': 'https://api.hh.ru/employers/588914', 'alternate_url': 'https://hh.ru/employer/588914', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/785631.png', '240': 'https://img.hhcdn.ru/employer-logo/3583416.png', '90': 'https://img.hhcdn.ru/employer-logo/3583415.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=588914', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы инженером данных или Python разработчиком в продуктовой компании от 1 года. Знание языков программирования: Python/SQL (обязательно), опыт...', 'responsibility': 'Активно участвовать в командном чате: отслеживать запросы, оперативно реагировать на вопросы и задачи в рабочее время. Мониторить системы и решать...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
5,115052516,False,Аналитик,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 120000, 'to': None, 'currency': 'RUR', 'gross': False}","{'id': 'anonymous', 'name': 'Анонимная'}",,,,2025-01-05T23:21:50+0300,2025-01-05T23:21:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115052516,,,https://api.hh.ru/vacancies/115052516?host=hh.ru,https://hh.ru/vacancy/115052516,[],"{'name': 'Компания, специализирующаяся на разработке маркетинговых и технических продуктов', 'trusted': True}","{'requirement': '...качестве <highlighttext>аналитика</highlighttext> в IT команде с web-продуктами от 1 года. Уверенный опыт работы с продуктовой и маркетинговой <highlighttext>аналитикой</highlighttext>: Google...', 'responsibility': 'Работа с существующими дашбордами продукта в Google <highlighttext>Data</highlighttext> Studio, адаптация и создание новых. Сопровождение а/б тестов, расчет стат значимого...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '10', 'name': 'Аналитик'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
6,114995193,False,Менеджер по сопровождению клиентов,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}","{'from': 100000, 'to': 120000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Санкт-Петербург', 'street': 'Гражданский проспект', 'building': '100', 'lat': 60.024482, 'lng': 30.406391, 'description': None, 'raw': 'Санкт-Петербург, Гражданский проспект, 100', 'metro': {'station_name': 'Академическая', 'line_name': 'Кировско-Выборгская', 'station_id': '14.192', 'line_id': '14', 'lat': 60.012806, 'lng': 30.396044}, 'metro_stations': [{'station_name': 'Академическая', 'line_name': 'Кировско-Выборгская', 'station_id': '14.192', 'line_id': '14', 'lat': 60.012806, 'lng': 30.396044}, {'station_name': 'Гражданский проспект', 'line_name': 'Кировско-Выборгская', 'station_id': '14.191', 'line_id': '14', 'lat': 60.034969, 'lng': 30.418224}, {'station_name': 'Политехническая', 'line_name': 'Кировско-Выборгская', 'station_id': '14.193', 'line_id': '14', 'lat': 60.008942, 'lng': 30.370907}], 'id': '6639843'}",,,2024-12-28T17:59:51+0300,2024-12-28T17:59:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=114995193,True,,https://api.hh.ru/vacancies/114995193?host=hh.ru,https://hh.ru/vacancy/114995193,[],"{'id': '4759975', 'name': 'MPSTATS', 'url': 'https://api.hh.ru/employers/4759975', 'alternate_url': 'https://hh.ru/employer/4759975', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/4261248.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/4261249.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/955180.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4759975', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Опыт работы на таких позициях, как менеджер по работе с клиентами, менеджер по продажам от 2-х лет. ', 'responsibility': 'Продажа подписки к нашему сервису для действующих клиентов компании. Работа с существующей клиентской базой. Продление действующей подписки. Повышение среднего чека...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
7,112439710,False,PR-lead (Дом Радио),,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Санкт-Петербург', 'street': 'Невский проспект', 'building': '62', 'lat': 59.933974, 'lng': 30.339763, 'description': None, 'raw': 'Санкт-Петербург, Невский проспект, 62', 'metro': None, 'metro_stations': [], 'id': '16801879'}",,,2024-12-03T16:05:08+0300,2024-12-03T16:05:08+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=112439710,,,https://api.hh.ru/vacancies/112439710?host=hh.ru,https://hh.ru/vacancy/112439710,[],"{'id': '4251873', 'name': 'ЧУК Этерна', 'url': 'https://api.hh.ru/employers/4251873', 'alternate_url': 'https://hh.ru/employer/4251873', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/776037.png', '240': 'https://img.hhcdn.ru/employer-logo/3545040.png', '90': 'https://img.hhcdn.ru/employer-logo/3545039.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4251873', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Мы ищем самостоятельного проактивного профессионала с опытом в культуре (обязательно для нас). Готовность пробовать новое и тестировать гипотезы. ', 'responsibility': 'Формирование стратегии продвижения: как бренда в целом, так и событий. Вести <highlighttext>аналитику</highlighttext> и принимать <highlighttext>data</highlighttext>-driven решения. Совместно с куратором...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '2', 'name': 'PR-менеджер'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
8,114667404,False,Data Analyst группы методологии и аналитики данных,,False,False,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': 59.9342040003386, 'lng': 30.40309499949217, 'description': None, 'raw': 'Санкт-Петербург, Малоохтинский проспект, 64', 'metro': None, 'metro_stations': [], 'id': '165183'}",,,2024-12-24T09:06:32+0300,2024-12-24T09:06:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=114667404,True,,https://api.hh.ru/vacancies/114667404?host=hh.ru,https://hh.ru/vacancy/114667404,[],"{'id': '3783', 'name': 'Банк Санкт-Петербург', 'url': 'https://api.hh.ru/employers/3783', 'alternate_url': 'https://hh.ru/employer/3783', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6783558.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/1290815.png', '240': 'https://img.hhcdn.ru/employer-logo/6783559.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=3783', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Знаете различные форматы данных (JSON,YAML,CSV,XML). Владеете SQL. Имеете знания в банковской и бухгалтерской терминологии.', 'responsibility': 'Разработка автоматизированных инструментов для оценки качества данных разработки. Поддержка сопроводительной документации и спецификации данных. Развитие и поддержка базы данных по...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
9,115064669,False,Growth Product Manager,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2025-01-06T14:59:03+0300,2025-01-06T14:59:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=115064669,,,https://api.hh.ru/vacancies/115064669?host=hh.ru,https://hh.ru/vacancy/115064669,[],"{'id': '2076464', 'name': 'Где мои дети', 'url': 'https://api.hh.ru/employers/2076464', 'alternate_url': 'https://hh.ru/employer/2076464', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/2794640.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/2794639.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/588346.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2076464', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Масштабность вклада: <highlighttext>data</highlighttext>-driven подход, решения, влияющие на продукт и на ценность для пользователей по всему миру. Готов к интенсивному...', 'responsibility': 'Комплексное развитие монетизации: оптимизация первой сессии, подписки разного уровня, ценообразование и эластичность спроса, платёжные системы. Анализировать конкурентные решения среди TOP...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '73', 'name': 'Менеджер продукта'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,
